dataset,model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
fenar/iot-security,logistic_regression,0.1005,0.0011180339887498,0.1005,0.0011180339887498,1.0,0.0,0.1826427540713255,0.0018437996103894
fenar/iot-security,naive_bayes,0.8995000000000001,0.0011180339887499,0.0,0.0,0.0,0.0,0.0,0.0
fenar/iot-security,random_forest,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
fenar/iot-security,adaboost,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
fenar/iot-security,linear_svm,0.1005,0.0011180339887498,0.1005,0.0011180339887498,1.0,0.0,0.1826427540713255,0.0018437996103894
schooly/Cyber-Security-Breaches,logistic_regression,0.5061611374407583,0.2125157801362057,0.3727036247334755,0.11683395774475967,0.7541979949874686,0.404539465908477,0.4070066190921783,0.21232674056137862
schooly/Cyber-Security-Breaches,naive_bayes,0.5507109004739336,0.17443720127653856,0.4155964496276342,0.19640254250878045,0.681390977443609,0.4284716838962114,0.4125943322984355,0.11047869851885894
schooly/Cyber-Security-Breaches,random_forest,0.7146919431279621,0.2481122999645108,0.5368217792953113,0.2518673822489877,0.6978696741854635,0.32115437747290865,0.5940163244486937,0.26692049481203084
schooly/Cyber-Security-Breaches,adaboost,0.64739336492891,0.23093265093039522,0.3759769379696202,0.24400551192757078,0.4946741854636592,0.4547725272608095,0.40319215278261866,0.32536479766833665
schooly/Cyber-Security-Breaches,linear_svm,0.509952606635071,0.2087891549157667,0.4099699944605158,0.16827501179467985,0.7787593984962407,0.41739767126932487,0.4143848639177973,0.21158485525357618
vossmoos/vestasv52-scada-windturbine-granada,logistic_regression,0.998,0.0020916500663351843,1.0,0.0,0.9973063973063973,0.002817037126377346,0.9986497880680005,0.0014129374255975827
vossmoos/vestasv52-scada-windturbine-granada,naive_bayes,0.698,0.014075688260259274,0.8917348760472839,0.01416198896143269,0.6752184002184002,0.019402115856252573,0.7683179569088449,0.01243436015177583
vossmoos/vestasv52-scada-windturbine-granada,random_forest,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
vossmoos/vestasv52-scada-windturbine-granada,adaboost,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
vossmoos/vestasv52-scada-windturbine-granada,linear_svm,0.9945,0.005700877125495702,1.0,0.0,0.9925925925925927,0.007677948990566597,0.9962705641939561,0.0038810581836875575
